2022-06-27 13:22:04.952 | INFO     | __main__:<module>:49 - Iniciando o sistema.
2022-06-27 13:22:05.013 | INFO     | marketplaces.spiders.americanas:__init__:25 - Crawler iniciado: americanas
2022-06-27 13:22:05.015 | INFO     | marketplaces.spiders.americanas:__init__:27 - Preço desejado: 4000
2022-06-27 13:22:05.015 | INFO     | marketplaces.spiders.americanas:__init__:30 - Validar frete: False
2022-06-27 13:22:05.016 | INFO     | marketplaces.spiders.americanas:__init__:36 - Palavra chave informada: dell g15
2022-06-27 13:22:05.017 | INFO     | marketplaces.spiders.americanas:__init__:44 - Filtro configurado: ?filter=%7B"id"%3A"loja"%2C"value"%3A"1p%7CAmericanas%7Cb2w.loja"%2C"fixed"%3Afalse%7D&sortBy=relevance
2022-06-27 13:22:06.293 | INFO     | marketplaces.spiders.americanas:start_requests:67 - Acessando...
2022-06-27 13:22:06.295 | INFO     | marketplaces.spiders.americanas:start_requests:68 - Pagina: https://americanas.com.br/busca/dell g15?filter=%7B"id"%3A"loja"%2C"value"%3A"1p%7CAmericanas%7Cb2w.loja"%2C"fixed"%3Afalse%7D&sortBy=relevance&limit=24&offset=0
2022-06-27 13:22:22.003 | INFO     | marketplaces.pipelines:process_item:28 - Um novo item foi processado: Notebook Gamer Dell G15-i1000-A20P 10ª Intel Core i5 8GB 512GB SSD (GeForce GTX 1650 4GB) 15,6" W11
2022-06-27 13:22:22.004 | INFO     | marketplaces.pipelines:process_item:33 - Notebook Gamer Dell G15-i1000-A20P 10ª Intel Core i5 8GB 512GB SSD (GeForce GTX 1650 4GB) 15,6" W11: preço formatado.
2022-06-27 13:22:22.006 | INFO     | marketplaces.pipelines:process_item:28 - Um novo item foi processado: Notebook Gamer Dell 15.6" Linux G15-i1000-d20p 10ª Intel Core I5 8GB 512GB SSD (GeForce GTX 1650)
2022-06-27 13:22:22.008 | INFO     | marketplaces.pipelines:process_item:33 - Notebook Gamer Dell 15.6" Linux G15-i1000-d20p 10ª Intel Core I5 8GB 512GB SSD (GeForce GTX 1650): preço formatado.
2022-06-27 13:22:22.010 | INFO     | marketplaces.pipelines:process_item:28 - Um novo item foi processado: Notebook Gamer Dell G15-I1100-A30P 11ª Intel Core i5 8GB 512GB SSD (GeForce RTX 3050 4GB) Tela FHD 15.6" Windows 11 - Preto
2022-06-27 13:22:22.010 | INFO     | marketplaces.pipelines:process_item:33 - Notebook Gamer Dell G15-I1100-A30P 11ª Intel Core i5 8GB 512GB SSD (GeForce RTX 3050 4GB) Tela FHD 15.6" Windows 11 - Preto: preço formatado.
2022-06-27 13:22:22.012 | INFO     | marketplaces.spiders.americanas:parse:102 - Pagina: https://americanas.com.br/busca/dell g15?filter=%7B"id"%3A"loja"%2C"value"%3A"1p%7CAmericanas%7Cb2w.loja"%2C"fixed"%3Afalse%7D&sortBy=relevance&limit=24&offset=24
2022-06-27 13:22:27.434 | INFO     | marketplaces.pipelines:close_spider:53 - Crawler finalizado.
2022-06-27 13:22:28.586 | INFO     | marketplaces.spiders.casasbahia:__init__:28 - Crawler iniciado: casasbahia
2022-06-27 13:22:28.587 | INFO     | marketplaces.spiders.casasbahia:__init__:30 - Preço desejado: 4000
2022-06-27 13:22:28.588 | INFO     | marketplaces.spiders.casasbahia:__init__:33 - Validar frete: False
2022-06-27 13:22:28.589 | INFO     | marketplaces.spiders.casasbahia:__init__:39 - Palavra chave informada: dell g15
2022-06-27 13:22:28.590 | INFO     | marketplaces.spiders.casasbahia:__init__:47 - Filtro configurado: ?resultsPerPage=20&terms=dell g15&filter=d%3A1136148%3A1136150&page=1&salesChannel=desktop&apiKey=casasbahia
2022-06-27 13:22:29.639 | INFO     | marketplaces.spiders.casasbahia:start_requests:62 - Acessando...
2022-06-27 13:22:29.641 | INFO     | marketplaces.spiders.casasbahia:start_requests:63 - Pagina: 1 - https://prd-api-partner.viavarejo.com.br/api/search?resultsPerPage=20&terms=dell g15&filter=d%3A1136148%3A1136150&page=1&salesChannel=desktop&apiKey=casasbahia
